gbt__max_depth,4
gbt__min_samples_leaf,100
pca__n_components,15
auc,0.5810890412572748
precision,0.42105263157894735
recall,0.026578073089700997
datagroup,0
gbt__max_depth,4
gbt__min_samples_leaf,100
pca__n_components,15
auc,0.6016428646513793
precision,0.5
recall,0.006802721088435374
datagroup,1
gbt__max_depth,5
gbt__max_features,sqrt
gbt__min_samples_leaf,10
gbt__min_samples_split,100
gbt__n_estimators,100
pca__n_components,15
auc,0.5680356259277585
precision,0.4
recall,0.019933554817275746
datagroup,0
gbt__max_depth,5
gbt__max_features,log2
gbt__min_samples_leaf,200
gbt__min_samples_split,10
gbt__n_estimators,100
pca__n_components,15
auc,0.6131008694868676
precision,0.4
recall,0.013605442176870748
datagroup,1
